row,duration
5,144
1,94
2,94
2,44
2,45
3,150
2,93
4,93
1,92
1,140
1,142
1,150
1,145
1,95
1,150
2,144
3,150
5,91
1,91
3,97
3,89
3,144
4,98
3,139
2,87
5,92
3,139
3,56
5,97
5,129
4,122
3,143
2,142
2,93
2,138
2,88
4,90
5,96
2,141
2,89
2,134
2,139
1,93
5,112
4,146
4,150
3,150
4,143
4,142
2,90
2,93
2,92
1,143
1,92
5,139
3,92
5,150
4,91
4,147
3,150
2,95
2,150
2,150
2,94
1,145
2,141
2,60
2,150
2,144
2,141
2,94
2,144
2,140
2,144
2,142
2,91
2,96
2,147
2,150
2,150
2,90
2,144
2,138
2,142
2,144
2,94
2,150
2,135
2,89
2,145
2,102
2,139
2,47
2,150
2,145
2,141
2,94
2,90
2,137
2,98
2,150
1,150
2,139
3,92
2,95
2,146
2,150
2,94
2,71
3,150
1,93
3,95
3,126
3,96
5,142
1,150
1,45
1,137
4,93
2,121
5,150
5,92
3,138
2,139
2,150
2,140
3,94
5,150
5,46
4,138
3,147
1,94
3,150
1,146
2,146
2,91
2,143
3,95
3,92
1,91
4,150
5,139
2,141
1,150
2,91
2,91
3,94
3,90
3,139
5,93
2,148
5,150
3,48
1,150
2,96
5,91
1,91
1,150
2,150
3,100
3,70
5,150
3,141
3,93
3,88
3,98
5,88
3,147
1,150
2,93
4,147
2,143
4,139
4,150
4,150
2,150
1,94
1,143
1,91
4,93
4,150
2,150
1,46
4,140
4,140
1,150
1,92
4,142
4,145
1,145
1,150
1,142
1,93
2,142
1,97
4,145
2,90
4,150
5,150
4,150
1,150
5,139
4,117
2,43
2,45
2,140
2,150
2,94
1,99
3,150
5,150
2,141
3,92
1,150
5,95
5,94
2,45
2,146
4,150
2,143
5,142
5,99
5,140
3,143
4,142
3,92
1,145
4,138
2,95
4,147
5,53
5,95
1,150
1,90
2,88
2,150
1,142
1,150
1,142
5,121
1,150
1,46
3,139
3,90
5,143
5,150
3,96
3,95
5,95
4,140
2,93
5,94
5,122
1,143
2,143
1,142
1,140
1,91
1,96
1,146
2,146
3,150
4,150
5,94
4,95
4,150
4,150
5,47
1,150
5,91
4,144
5,93
2,144
2,92
5,150
3,150
4,150
1,138
4,138
1,97
1,141
5,93
5,142
4,91
4,95
4,148
4,99
4,50
1,49
4,141
4,150
4,150
4,144
4,150
4,150
4,143
4,150
4,94
4,145
5,145
4,110
4,148
4,144
4,145
4,97
4,142
4,94
4,94
4,150
4,141
4,150
4,93
4,92
4,140
4,89
4,94
1,150
1,138
3,150
3,139
5,141
2,142
2,146
4,150
5,138
3,92
1,93
1,145
1,150
5,49
5,139
3,90
3,94
3,94
1,94
4,85
2,90
2,44
5,93
4,150
3,94
5,150
4,118
4,142
2,145
1,139
1,95
5,146
1,150
2,150
3,115
1,146
3,124
1,91
1,150
1,92
1,141
1,92
1,79
1,150
1,150
1,150
3,150
2,90
1,141
5,138
2,45
2,92
2,131
5,144
3,145
1,141
4,139
4,94
3,150
5,145
3,93
5,95
1,142
1,91
3,150
4,92
2,140
4,141
5,51
4,150
3,144
5,121
2,150
2,139
2,143
5,140
1,91
3,139
5,94
3,150
3,89
3,128
3,144
3,150
1,150
1,143
3,91
1,144
1,150
1,113
2,48
2,150
2,94
2,138
3,146
3,142
3,92
3,94
2,94
2,90
2,45
3,95
1,138
1,142
3,150
4,139
4,139
5,144
1,150
1,95
1,144
3,116
5,150
4,143
5,138
2,47
5,68
2,144
3,93
2,100
3,139
4,93
5,150
1,91
5,145
1,94
3,95
3,141
3,94
3,139
3,138
4,140
1,93
3,91
2,90
2,150
1,144
1,147
3,142
5,95
5,138
4,144
4,96
5,103
5,95
4,142
3,142
5,55
5,92
2,93
5,150
5,92
5,141
1,138
1,141
5,150
5,150
3,140
3,94
3,136
1,96
5,150
2,92
4,95
4,144
4,49
4,142
4,150
4,90
2,45
2,89
4,143
4,150
2,150
4,141
3,150
5,142
5,92
1,94
1,94
2,143
3,143
2,150
1,140
1,150
5,84
2,94
3,150
3,91
1,140
1,150
2,91
2,150
1,150
2,88
2,150
1,93
3,91
5,140
1,120
1,96
5,94
3,150
1,150
1,142
4,144
1,87
3,150
5,141
3,150
1,140
2,150
1,141
1,150
2,143
1,142
5,141
5,141
5,150
1,141
4,150
4,143
1,138
1,96
4,144
4,150
3,146
3,95
3,91
3,137
3,95
3,94
3,99
3,90
3,92
3,150
3,45
3,45
5,143
3,139
2,137
4,150
4,142
4,150
4,142
3,48
1,144
3,138
1,150
1,143
2,93
1,148
5,150
3,150
3,144
3,141
3,50
1,143
1,139
4,150
2,142
3,140
2,49
5,97
1,139
3,144
3,146
1,146
3,143
5,148
5,99
2,92
1,116
1,88
1,141
1,150
1,145
1,140
1,140
1,148
1,145
1,139
1,150
2,146
5,53
5,145
1,150
3,90
3,94
5,93
3,97
1,146
4,140
3,93
4,93
5,94
5,92
2,93
3,92
1,141
1,143
4,91
3,137
5,143
5,68
3,96
3,150
1,150
4,146
1,150
5,97
1,140
1,143
1,143
3,90
2,150
1,91
3,150
3,87
3,126
1,150
4,150
2,150
5,150
1,91
2,150
3,150
2,137
2,47
4,137
5,143
1,150
2,150
2,92
5,96
5,146
1,150
3,139
1,141
1,93
1,92
3,150
2,141
3,94
3,101
3,150
5,98
3,142
3,95
3,150
1,140
1,150
5,90
2,150
4,150
1,93
5,144
3,150
5,49
5,98
4,140
1,150
1,150
4,143
5,108
5,145
2,46
2,96
3,150
3,91
2,150
5,144
2,131
5,115
1,150
5,143
1,139
1,48
1,150
2,139
1,88
5,48
5,89
3,139
2,150
1,141
3,97
4,145
2,90
3,150
3,149
5,90
3,140
2,92
2,94
4,139
1,150
1,144
1,150
3,150
1,143
1,144
1,150
1,150
1,94
1,140
1,138
1,140
2,140
1,140
1,91
1,91
1,150
1,92
1,150
1,150
1,141
1,138
1,51
3,91
3,141
3,150
3,94
3,150
2,150
3,150
5,143
3,93
4,92
4,96
1,144
1,150
1,141
1,144
5,96
3,94
5,44
5,150
4,142
1,144
2,45
2,137
2,136
3,150
3,92
3,90
2,142
2,138
3,150
5,150
3,138
3,140
3,138
3,150
5,86
4,145
4,142
1,142
2,92
1,136
2,88
2,143
5,142
2,95
2,91
2,150
4,142
5,99
1,146
3,93
2,91
4,150
1,141
1,146
3,94
4,91
5,150
2,92
3,137
4,141
4,150
3,142
5,95
5,91
2,150
1,150
4,150
2,137
4,141
1,143
2,150
1,139
1,138
1,46
1,150
5,95
2,95
3,139
2,150
2,92
2,89
2,95
4,94
4,146
5,150
2,138
4,146
4,93
5,89
2,145
2,89
2,147
3,93
4,150
1,150
5,95
1,91
1,138
5,90
2,65
1,139
5,150
3,150
2,94
2,91
4,142
2,93
3,91
1,92
2,90
4,140
